variant,K,token_acc,exact_match,bleu,chrf,semsim
main,1,0.013448864415014888,0.0,4.664628295765459,29.25164398146051,0.41094186902046204
main,2,0.01402195173608083,0.0,4.323002701167312,29.429678383610348,0.4102897047996521
main,4,0.014875353507668157,0.0,3.3439605097579683,28.68909120388061,0.3826221227645874
main,8,0.02591974285821072,0.0,3.396110751872941,28.02537323868125,0.35827162861824036
main,16,0.05893455591961828,0.0,6.216058505299032,29.773413298486375,0.3824063837528229
main,32,0.25302428146062517,0.0015,37.51108057787325,54.863805616670845,0.680469274520874
main,64,0.9904443918422265,0.9705,99.52539319978672,99.6555188726176,0.9977834224700928
b2,1,0.013791470965652136,0.0,4.1974250553182255,26.51715894588308,0.23410773277282715
b2,2,0.014676018787297395,0.0,3.7285063565579057,26.38479996339379,0.22137054800987244
b2,4,0.015161897168201129,0.0,3.080801861154729,26.491199797030813,0.19247624278068542
b2,8,0.014233744876474766,0.0,2.0791981773323536,26.33555945787253,0.16101019084453583
b2,16,0.05680416609565575,0.0,5.754941886054018,28.811395640056347,0.23655997216701508
b2,32,0.2628415164388852,0.017,35.98350098641439,51.83387073717305,0.5860271453857422
b2,64,0.978858061220676,0.949,98.26209843857706,98.71807756461742,0.9884056448936462
b3,1,0.017036889381688614,0.0,3.034355207859313,22.964304478645143,0.17975181341171265
b3,2,0.018899423175152925,0.0,4.45218404329281,25.845365025860527,0.25527992844581604
b3,4,0.02451194139559221,0.0,5.810231438361811,29.046558134922094,0.33126604557037354
b3,8,0.04138064210696799,0.0,7.794715713962791,32.290126310295584,0.41018494963645935
b3,16,0.07562883875066964,0.0,11.687947573589302,36.10446327716555,0.47775885462760925
b3,32,0.1536185480957305,0.0,30.2184929183858,50.579591771044065,0.6963022947311401
b3,64,0.9592921125742834,0.7475,97.81014164932242,98.69016774582684,0.9921913743019104
b4,1,0.019460052076195698,0.0,1.5338765415184756,13.201148278038938,0.06384433805942535
b4,2,0.017510309342569176,0.0,1.4865453123302117,14.182538425025596,0.06824520975351334
b4,4,0.01765358117283566,0.0,1.5000392859972655,15.161476463818598,0.08964162319898605
b4,8,0.08019484968916242,0.0,9.3848570248714,24.09665349327936,0.37738117575645447
b4,16,0.03875814469209015,0.0,10.367887523852394,25.30448621739638,0.4023306965827942
b4,32,0.055676679083558625,0.0,36.495905939296556,49.207144992731116,0.7034633755683899
b4,64,0.7416061395093875,0.33,73.4150142483756,78.81306279829725,0.9189366102218628
b1,1,0.03826603710117483,0.0,0.3150187351084711,4.281862712851684,0.07411161065101624
b1,2,0.05143458706566833,0.0,0.6321556873282863,10.186279750458496,0.13952340185642242
b1,4,0.07640749000211793,0.0,1.078931940049298,15.983307178530273,0.2205531746149063
b1,8,0.14024443420085464,0.0,1.8287146718118512,23.125819589628545,0.3472611904144287
b1,16,0.3184372157922932,0.0,7.484142960326901,34.44098617260951,0.5315209031105042
b1,32,0.6665628464998069,0.205,37.668037551048016,60.46279513461388,0.7922016382217407
b1,64,0.9826952545878131,0.7185,94.86503764111399,97.25954640255932,0.991089403629303
