variant,K,token_acc,bleu,chrf,semsim
main,1,0.0195,3.81,22.77,0.3818
main,2,0.0231,3.88,23.38,0.3842
main,4,0.0253,3.98,23.77,0.3892
main,8,0.029,4.1,23.96,0.3946
main,16,0.0303,4.09,24.15,0.3973
main,32,0.0335,4.39,24.46,0.4021
main,64,0.0318,4.18,24.33,0.3989
enc0,1,0.0205,4.37,23.37,0.345
enc0,2,0.0242,4.24,24.04,0.3461
enc0,4,0.0279,4.63,24.4,0.3463
enc0,8,0.0341,4.79,24.81,0.3531
enc0,16,0.0412,5.01,25.07,0.3573
enc0,32,0.0477,5.13,25.15,0.3589
enc0,64,0.0485,5.18,24.94,0.3588
